city_municipality,province_x,region,population_2020,population_2024,pop_growth_rate_pct,poverty_incidence_2018_pct,poverty_incidence_2021_pct,poverty_incidence_2023_pct,poverty_source,births_occurrence_both,births_occurrence_male,births_occurrence_female,births_residence_both,births_residence_male,births_residence_female,hospital_count_level1,hospital_count_level2,hospital_count_level3,total_facilities,total_hospitals,total_bed_capacity,weighted_facility_score,private_count,gov_count,private_ownership_pct,facility_density_per10k,hospital_density_per10k,beds_per_1000,weighted_score_per10k,level3_per100k,atm,bank,bar,bus_station,cafe,community_centre,fast_food,fuel,parking,pharmacy,place_of_worship,police,post_office,restaurant,school,shelter,toilets,townhall
CITY OF CALOOCAN,,NATIONAL CAPITAL REGION (NCR),1661584,1712945,0.73,3.1,4.2,1.9,ncr_huc,13681.0,6993.0,6688.0,20234.0,10437.0,9797.0,8,1,2,235,14,1131,407.5,158,77,0.6723,1.3719,0.0817,0.6603,2.3789,0.1168,23.0,81.0,8.0,11.0,30.0,8.0,164.0,5.0,24.0,74.0,66.0,9.0,6.0,76.0,31.0,13.0,15.0,10.0
CITY OF LAS PINAS,,NATIONAL CAPITAL REGION (NCR),606293,615549,0.36,1.0,2.5,0.7,ncr_huc,7239.0,3722.0,3517.0,7337.0,3752.0,3585.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,76.0,19.0,5.0,60.0,4.0,165.0,3.0,18.0,78.0,36.0,8.0,8.0,160.0,29.0,5.0,7.0,3.0
CITY OF MAKATI,,NATIONAL CAPITAL REGION (NCR),292743,309770,1.37,0.2,0.8,0.6,ncr_huc,5120.0,2657.0,2463.0,5516.0,2867.0,2649.0,0,2,1,166,3,717,231.5,137,29,0.8253,5.3588,0.0968,2.3146,7.4733,0.3228,140.0,552.0,120.0,11.0,316.0,8.0,370.0,1.0,107.0,99.0,15.0,15.0,18.0,859.0,31.0,7.0,51.0,16.0
CITY OF MALABON,,NATIONAL CAPITAL REGION (NCR),380522,389929,0.59,1.2,2.9,1.5,ncr_huc,2995.0,1518.0,1477.0,5072.0,2637.0,2435.0,2,1,0,72,3,120,122.5,46,26,0.6389,1.8465,0.0769,0.3077,3.1416,0.0,11.0,19.0,2.0,0.0,11.0,0.0,50.0,1.0,13.0,26.0,21.0,7.0,2.0,20.0,12.0,3.0,5.0,1.0
CITY OF MANDALUYONG,,NATIONAL CAPITAL REGION (NCR),425758,465902,2.18,0.9,0.4,0.3,ncr_huc,3695.0,1952.0,1743.0,4572.0,2385.0,2187.0,0,2,2,119,4,4994,207.5,81,38,0.6807,2.5542,0.0859,10.719,4.4537,0.4293,62.0,91.0,8.0,2.0,81.0,6.0,208.0,1.0,39.0,61.0,17.0,12.0,10.0,132.0,8.0,8.0,11.0,4.0
CITY OF MANILA,,NATIONAL CAPITAL REGION (NCR),1846513,1902590,0.72,,,,,46307.0,24292.0,22015.0,23896.0,12484.0,11412.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,440.0,48.0,18.0,240.0,10.0,589.0,4.0,36.0,175.0,104.0,31.0,32.0,513.0,50.0,16.0,90.0,39.0
CITY OF MARIKINA,,NATIONAL CAPITAL REGION (NCR),456059,471323,0.79,1.5,1.6,0.7,ncr_huc,7772.0,4002.0,3770.0,5737.0,3004.0,2733.0,4,3,1,108,9,792,167.0,78,30,0.7222,2.2914,0.191,1.6804,3.5432,0.2122,30.0,60.0,21.0,2.0,67.0,5.0,195.0,6.0,37.0,57.0,34.0,6.0,4.0,212.0,20.0,18.0,34.0,1.0
CITY OF MUNTINLUPA,,NATIONAL CAPITAL REGION (NCR),543445,552225,0.39,0.8,1.7,0.1,ncr_huc,6250.0,3271.0,2979.0,6045.0,3185.0,2860.0,3,1,3,109,7,745,166.0,82,27,0.7523,1.9738,0.1268,1.3491,3.006,0.5433,28.0,107.0,6.0,7.0,62.0,4.0,114.0,2.0,13.0,55.0,36.0,10.0,6.0,216.0,19.0,1.0,29.0,1.0
CITY OF NAVOTAS,,NATIONAL CAPITAL REGION (NCR),247543,252878,0.51,2.4,3.1,2.5,ncr_huc,2698.0,1379.0,1319.0,3651.0,1886.0,1765.0,0,1,0,35,1,71,52.5,13,22,0.3714,1.3841,0.0395,0.2808,2.0761,0.0,3.0,5.0,0.0,1.0,2.0,0.0,16.0,2.0,3.0,11.0,8.0,3.0,0.0,1.0,3.0,2.0,2.0,3.0
CITY OF PARANAQUE,,NATIONAL CAPITAL REGION (NCR),689992,703245,0.46,0.5,2.5,0.6,ncr_huc,6480.0,3364.0,3116.0,8108.0,4211.0,3897.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,147.0,41.0,3.0,121.0,12.0,281.0,5.0,41.0,76.0,41.0,10.0,14.0,435.0,34.0,5.0,25.0,6.0
